,OBJECTID,DISTRICT,DISTRICTN,Shape__Area,Shape__Length,district,name,party,town,title,county,first,last
0,1.0,1,1.0,1.01561718426751,5.69774893117076,1,Austin L. Theriault,R,Fort Kent,Rep,,Austin,Theriault
1,2.0,2,2.0,0.196868926554998,2.70287522854015,2,Roger Clarence Albert,R,Madawaska,Rep,,Roger,Albert
2,3.0,3,3.0,0.135217222655456,2.32288868872483,3,Mark Michael Babin,R,Fort Fairfield,Rep,,Mark,Babin
3,4.0,4,4.0,0.0462351276607933,1.17631638734355,4,Timothy C. Guerrette,R,Caribou,Rep,,Timothy,Guerrette
4,5.0,5,5.0,0.0236343616629711,0.622562719607028,5,Joseph F. Underwood,R,Presque Isle,Rep,,Joseph,Underwood
5,6.0,6,6.0,0.348687812914704,2.99120708874738,6,Donald J. Ardell,R,Monticello,Rep,,Donald,Ardell
6,7.0,7,7.0,0.0481108217409201,1.16304294331816,7,Gregory Lewis Swallow,R,Houlton,Rep,,Gregory,Swallow
7,8.0,8,8.0,0.594322892009131,4.82496218021294,8,Tracy L. Quint,R,Hodgdon,Rep,,Tracy,Quint
8,9.0,9,9.0,0.0901879765399372,2.56709271282352,9,Anne C. Perry,D,Calais,Rep,,Anne,Perry
9,10.0,10,10.0,0.313735711802792,2.96097283778208,10,Kenneth Ralph Davis,R,East Machias,Rep,,Kenneth,Davis
10,11.0,11,11.0,0.165497314819049,2.04089176837612,11,Tiffany Strout,R,Harrington,Rep,,Tiffany,Strout
11,12.0,12,12.0,0.103803549936629,2.07248566530921,12,Leader Billy Bob Faulkingham,R,Winter Harbor,Rep,,Leader,Faulkingham
12,13.0,13,13.0,0.0419540499256073,1.30686662011333,13,J. Mark Worth,D,Ellsworth,Rep,,J.,Worth
13,14.0,14,14.0,0.0551380863955728,1.34701641192874,14,Lynne A. Williams,D,Bar Harbor,Rep,,Lynne,Williams
14,15.0,15,15.0,0.21386597705964,2.92991216614821,15,Holly Rae Eaton,D,Deer Isle,Rep,,Holly,Eaton
15,16.0,16,16.0,0.0784984718331998,1.70157490172286,16,Nina Azella Milliken,D,Blue Hill,Rep,,Nina,Milliken
16,17.0,17,17.0,0.0483260725375203,1.112249712017,17,Ronald B. Russell,D,Verona Island,Rep,,Ronald,Russell
17,18.0,18,18.0,0.523871986873019,4.62934694347828,18,Meldon H. Carmichael,R,Greenbush,Rep,,Meldon,Carmichael
18,19.0,19,19.0,0.0254347869899902,0.908803765533329,19,Richard H. Campbell,R,Orrington,Rep,,Richard,Campbell
19,20.0,20,20.0,0.00448202524580665,0.293331688841776,20,Kevin J. M. O'Connell,D,Brewer,Rep,,Kevin,O'Connell
20,21.0,21,21.0,0.00264568513080121,0.268427963751549,21,Ambureen Rana,D,Bangor,Rep,,Ambureen,Rana
21,22.0,22,22.0,0.00210617142374758,0.251501165867187,22,Laura D. Supica,D,Bangor,Rep,,Laura,Supica
22,23.0,23,23.0,0.00426035436089478,0.319044756030157,23,Amy J. Roeder,D,Bangor,Rep,,Amy,Roeder
23,24.0,24,24.0,0.00638544065645874,0.552254570599224,24,Joseph C. Perry,D,Bangor,Rep,,Joseph,Perry
24,25.0,25,25.0,0.00166034943049453,0.262443548147269,25,Laurie Osher,D,Orono,Rep,,Laurie,Osher
25,26.0,26,26.0,0.0343022596298397,3.62276839753519,26,James F. Dill,D,Old Town,Rep,,James,Dill
26,27.0,27,27.0,0.0675581831083036,1.86444462562138,27,Gary A. Drinkwater,R,Milford,Rep,,Gary,Drinkwater
27,28.0,28,28.0,0.104854303176126,2.70948652985148,28,Irene A. Gifford,R,Lincoln,Rep,,Irene,Gifford
28,29.0,29,29.0,0.398936383644013,4.14612759132514,29,Kathy Irene Javner,R,Chester,Rep,,Kathy,Javner
29,30.0,30,30.0,1.23483637401478,6.72368914888262,30,James Lee White,R,Guilford,Rep,,James,White
30,31.0,31,31.0,0.0958917663947432,1.82944778990853,31,Chad Richard Perkins,R,Dover,Rep,,Chad,Perkins
31,32.0,32,32.0,0.0587829576820695,1.36261842005647,32,Steven D. Foster,R,Dexter,Rep,,Steven,Foster
32,33.0,33,33.0,0.0497329286506556,1.10799560079748,33,Danny Edward Costain,R,Plymouth,Rep,,Danny,Costain
33,34.0,34,34.0,0.0224160937877969,0.696649164385144,34,Abigail W. Griffin,R,Levant,Rep,,Abigail,Griffin
34,35.0,35,35.0,0.021748593724169,0.716590071066938,35,James E. Thorne,R,Carmel,Rep,,James,Thorne
35,36.0,36,36.0,0.0205554508959267,0.759045532444014,36,David G. Haggan,R,Hampden,Rep,,David,Haggan
36,37.0,37,37.0,0.0427189727674886,1.14774731242947,37,Reagan L. Paul,R,Winterport,Rep,,Reagan,Paul
37,38.0,38,38.0,0.069347781916349,1.37231991656808,38,Benjamin C. Hymes,R,Waldo,Rep,,Benjamin,Hymes
38,39.0,39,39.0,0.0256050900673017,0.784081960403742,39,Janice S. Dodge,D,Belfast,Rep,,Janice,Dodge
39,40.0,40,40.0,0.0800087160300791,1.85861452186818,40,Stanley Paige Zeigler,D,Montville,Rep,,Stanley,Zeigler
40,41.0,41,41.0,0.0174920778017622,0.523523373905741,41,Victoria W. Doudera,D,Camden,Rep,,Victoria,Doudera
41,42.0,42,42.0,0.120023108235046,2.59359994551467,42,Valli D. Geiger,D,Rockland,Rep,,Valli,Geiger
42,43.0,43,43.0,0.0515968319577951,1.19522288139078,43,Ann Higgins Matlack,D,St. George,Rep,,Ann,Matlack
43,44.0,44,44.0,0.0312270831261685,1.05841146478802,44,William D. Pluecker,I,Warren,Rep,,William,Pluecker
44,45.0,45,45.0,0.0559552774132044,1.4613638154735,45,Clinton E. Collamore,D,Waldoboro,Rep,,Clinton,Collamore
45,46.0,46,46.0,0.0572298651395613,1.6878454089394,46,Lydia V. Crafts,D,Newcastle,Rep,,Lydia,Crafts
46,47.0,47,47.0,0.0451768229593199,1.27687302853255,47,Edward J. Polewarczyk,R,Wiscasset,Rep,,Edward,Polewarczyk
47,48.0,48,48.0,0.0489618441254152,0.958228327041402,48,Holly B. Stover,D,Boothbay,Rep,,Holly,Stover
